원본,요약,요약 개조식,카테고리
 다양한 먹거리 체험이 있었음합니다.,"요약:
- 다양한 먹거리 체험이 있었음합니다.",- 다양한 먹거리 체험이,먹거리 체험
" 확실히 예전에 비해 많이 트렌드 해졌다고 느낀다.
기획부분에서 아쉽다고 느낌-> 비슷비슷하달까… 근데 트렌드 면에서는 잘 짚었다고 봄
나중에는 ""차별화""를 둔 축제 기획을 원한다.
비슷해지는 것보다 눈에 띄는게 좋으니까","- 확실히 예전에 비해 많이 트렌드 해졌다고 느낀다.
- 기획부분에서 아쉽다고 느낌 -> 비슷비슷하달까… 근데 트렌드 면에서는 잘 짚었다고 봄
- 나중에는 ""차별화""를 둔 축제 기획을 원한다.
- 비슷해지는 것보다 눈에 띄는게 좋으니까","- 확실히 예전에 비해 많이 트렌드 해졌다고 느낀다; 기획부분에서 아쉽다고 느낌, 비슷비슷하달까…, 근데 트렌드 면에서는 잘 짚었다고 봄; 나중에는 ""차별화""를 둔 축제 기획을 원한다, 비슷해지는 것보다 눈에 띄는게 좋으니까",먹거리 체험
"5시 15분 공연 관광하고싶었으나
안내 미흡으로 위치만 찾아다니다 관광하지 못했다.
옷 만들기도 5시에 소진되어 하지 못했고
푸드트럭이 부족해보임.","- 5시 15분 공연 관광하고싶었으나 안내 미흡으로 위치만 찾아다니다 관광하지 못했다.
- 옷 만들기도 5시에 소진되어 하지 못했다.
- 푸드트럭이 부족해보임.","- 5시 15분 공연 관광하고싶었으나 안내 미흡으로 위치만 찾아다니다 관광하지 못했다, 옷 만들기도 5시에 소진되어 하지 못했다, 푸드트럭이 부족해보임",행사불편
가수 ,- 가수,- 가수,행사불편
"가수 출연가수 너무 부실함
정말 멀리서 걸어왔는데 가수가 저게 뭔가요?
양심 있나요?","- 가수 출연가수 너무 부실함  
- 정말 멀리서 걸어왔는데 가수가 저게 뭔가요?  
- 양심 있나요?","- 가수 출연가수 너무 부실함, 정말 저게 뭔가요? 양심 있나요?",행사불편
가족or친척 함께 어울릴 수 있는 행사,- 가족or친척 함께 어울릴 수 있는 행사,- 가족or친척 함께 어울릴 행사,폐공장가족행사
가족단위 참여가 많기 때문에 체험부스 늘렸으면 좋겠다,"요약:
- 가족단위 참여가 많기 때문에 체험부스 늘렸으면 좋겠다",- 가족단위 참여가 많기 때문에 체험부스 늘렸으면 좋겠다,다양한 체험부스
개최해주셔서 감사합니다.,- 개최해주셔서 감사합니다.,- 감사합니다.,행사불편
공연관람시 의자시설을 더욱 보완해주시면 좋을것 같습니다.,- 공연 관람 시 의자 시설을 더욱 보완해주었으면 좋겠다고 응답,- 공연 관람 시 의자 시설 보완해주었으면,다양한 체험부스
공장에서 진행된다고 하지만 많은 인원이 참여하기엔 다소 협소하다.,"요약:
- 공장에서 진행되지만 많은 인원이 참여하기엔 다소 협소하다.",- 공장에서 다소 협소하다,폐공장가족행사
교통이 편이한 곳에서 했으면 좋겠어요.,"요약:
- 교통이 편이한 곳에서 했으면 좋겠어요.",- 교통이 편이한 곳,폐공장가족행사
"교통편, 주차시설","- 교통편, 주차시설","- 교통편, 주차시설",주차안내
"구미에는 어린이 가족이 많은데 어린이들과 함께 체험가능한 프로그램이
더 많았으면 좋겠습니다.",- 구미에는 어린이 가족이 많으므로 어린이들과 함께 체험할 수 있는 프로그램이 더 많았으면 좋겠다.,- 구미에는 어린이 가족이 많으므로 체험할 수 있는 프로그램이 더 많았으면 좋겠다.,다양한 체험부스
"구미에는 자녀동반 가족이 많은데 
그에비해 체험프로그램 부족.",- 구미에는 자녀동반 가족이 많은데 그에 비해 체험프로그램이 부족하다.,- 구미에는 자녀동반 가족이 많은데 그에 비해 체험프로그램이 부족하다.,다양한 체험부스
기상악화시 대비 필요해보임 (당일 비로 인해 매우 불편),"- 기상악화 시 대비가 필요해 보임
- 당일 비로 인해 매우 불편했음","- 기상악화 시 대비가 필요해, 당일 비로 인해 매우 불편했음",행사불편
날씨(우천시) 대비 실내프로그램 좀 더 많았으면 좋겠습니다.,- 우천 대비 실내 프로그램을 더 늘렸으면 좋겠습니다.,- 우천 대비 실내 프로그램 더 늘렸으면,다양한 체험부스
